R,Z,DeltaR,DeltaZ,ang1,ang2,circ,N,mult,R(mOhms),Name
0.1318126,-0.5898548,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_198
0.1446252,-0.5898548,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_199
0.1574378,-0.5898548,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_200
0.1190000,-0.5718802,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_201
0.1318126,-0.5718802,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_202
0.1446252,-0.5718802,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_203
0.1574378,-0.5718802,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_204
0.1190000,-0.5539057,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_205
0.1318126,-0.5539057,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_206
0.1446252,-0.5539057,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_207
0.1574378,-0.5539057,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_208
0.1190000,-0.5359312,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_209
0.1318126,-0.5359312,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_210
0.1446252,-0.5359312,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_211
0.1574378,-0.5359312,0.0115000,0.0170000,0.0000000,0.0000000,1,1,0.5000000,0.0000000,*amc_sol_current_212
